Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Firefox 59.0,,2018-05-10 16:32:16,2018-05-10 16:34:32,2m - 16.038s,PASSED
,,,,,,
Test Cases/User require password,Firefox 59.0,,2018-05-10 16:32:17,2018-05-10 16:32:29,11.727s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 16:32:17,2018-05-10 16:32:21,3.821s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 16:32:21,2018-05-10 16:32:28,6.705s,PASSED
setText,Firefox 59.0,,2018-05-10 16:32:28,2018-05-10 16:32:28,0.184s,PASSED
click,Firefox 59.0,,2018-05-10 16:32:28,2018-05-10 16:32:28,0.287s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:32:28,2018-05-10 16:32:28,0.053s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 16:32:28,2018-05-10 16:32:29,0.370s,PASSED
,,,,,,
Test Cases/User require password,Firefox 59.0,,2018-05-10 16:32:29,2018-05-10 16:32:37,8.344s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 16:32:29,2018-05-10 16:32:31,2.845s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 16:32:31,2018-05-10 16:32:36,4.810s,PASSED
setText,Firefox 59.0,,2018-05-10 16:32:36,2018-05-10 16:32:36,0.160s,PASSED
click,Firefox 59.0,,2018-05-10 16:32:36,2018-05-10 16:32:37,0.275s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:32:37,2018-05-10 16:32:37,0.019s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 16:32:37,2018-05-10 16:32:37,0.215s,PASSED
,,,,,,
Test Cases/User require password,Firefox 59.0,,2018-05-10 16:32:37,2018-05-10 16:32:45,8.464s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 16:32:37,2018-05-10 16:32:40,2.775s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 16:32:40,2018-05-10 16:32:45,5.067s,PASSED
setText,Firefox 59.0,,2018-05-10 16:32:45,2018-05-10 16:32:45,0.100s,PASSED
click,Firefox 59.0,,2018-05-10 16:32:45,2018-05-10 16:32:45,0.261s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 16:32:45,2018-05-10 16:32:45,0.026s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 16:32:45,2018-05-10 16:32:45,0.213s,PASSED
,,,,,,
