Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Product available,Chrome 66.0.3359.139,,2018-05-10 16:27:14,2018-05-10 16:27:26,12.091s,PASSED
,,,,,,
Test Cases/Product available,Chrome 66.0.3359.139,,2018-05-10 16:27:14,2018-05-10 16:27:26,11.615s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:27:15,2018-05-10 16:27:18,3.121s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:27:18,2018-05-10 16:27:23,5.310s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:27:23,2018-05-10 16:27:24,0.303s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:27:24,2018-05-10 16:27:24,0.158s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:27:24,2018-05-10 16:27:24,0.208s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 16:27:24,2018-05-10 16:27:25,1.272s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 16:27:25,2018-05-10 16:27:25,0.051s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:27:25,2018-05-10 16:27:26,0.804s,PASSED
