Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Product available,Chrome 66.0.3359.139,,2018-05-10 16:27:43,2018-05-10 16:27:56,12.784s,PASSED
,,,,,,
Test Cases/Product available,Chrome 66.0.3359.139,,2018-05-10 16:27:44,2018-05-10 16:27:56,12.313s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 16:27:44,2018-05-10 16:27:47,3.102s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 16:27:47,2018-05-10 16:27:53,5.765s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:27:53,2018-05-10 16:27:53,0.261s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 16:27:53,2018-05-10 16:27:54,0.170s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 16:27:54,2018-05-10 16:27:54,0.173s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 16:27:54,2018-05-10 16:27:55,1.614s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 16:27:55,2018-05-10 16:27:55,0.083s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 16:27:55,2018-05-10 16:27:56,0.724s,PASSED
