Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Chrome 66.0.3359.139,,2018-05-09 16:07:30,2018-05-09 16:11:46,4m - 15.425s,FAILED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 16:07:31,2018-05-09 16:07:57,26.248s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:07:32,2018-05-09 16:07:35,3.761s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:07:35,2018-05-09 16:07:56,20.787s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:07:56,2018-05-09 16:07:56,0.273s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:07:56,2018-05-09 16:07:56,0.136s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:07:56,2018-05-09 16:07:57,0.077s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:07:57,2018-05-09 16:07:57,0.793s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 16:07:57,2018-05-09 16:08:25,27.663s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:07:57,2018-05-09 16:08:00,2.134s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:08:00,2018-05-09 16:08:24,24.323s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:08:24,2018-05-09 16:08:24,0.244s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:08:24,2018-05-09 16:08:24,0.144s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:08:24,2018-05-09 16:08:24,0.066s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:08:24,2018-05-09 16:08:25,0.731s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 16:08:25,2018-05-09 16:08:40,14.485s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:08:25,2018-05-09 16:08:28,2.375s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:08:28,2018-05-09 16:08:38,10.296s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:08:38,2018-05-09 16:08:38,0.226s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:08:38,2018-05-09 16:08:38,0.445s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:08:38,2018-05-09 16:08:39,0.164s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:08:39,2018-05-09 16:08:40,0.863s,PASSED
,,,,,,
Test Cases/Login admin,Chrome 66.0.3359.139,,2018-05-09 16:08:40,2018-05-09 16:09:03,23.136s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:08:40,2018-05-09 16:08:42,2.375s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:08:42,2018-05-09 16:09:00,17.958s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:09:00,2018-05-09 16:09:00,0.238s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:09:00,2018-05-09 16:09:01,0.183s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:09:01,2018-05-09 16:09:01,0.124s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:09:01,2018-05-09 16:09:02,1.123s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:09:02,2018-05-09 16:09:02,0.063s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:09:02,2018-05-09 16:09:03,0.739s,PASSED
,,,,,,
Test Cases/Login page,Chrome 66.0.3359.139,,2018-05-09 16:09:03,2018-05-09 16:09:19,16.418s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:09:03,2018-05-09 16:09:05,2.378s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:09:05,2018-05-09 16:09:18,12.929s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:09:18,2018-05-09 16:09:18,0.162s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:09:18,2018-05-09 16:09:19,0.713s,PASSED
,,,,,,
Test Cases/Login user,Chrome 66.0.3359.139,,2018-05-09 16:09:19,2018-05-09 16:09:58,39.079s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:09:19,2018-05-09 16:09:22,2.456s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:09:22,2018-05-09 16:09:56,33.917s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:09:56,2018-05-09 16:09:56,0.224s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:09:56,2018-05-09 16:09:56,0.160s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:09:56,2018-05-09 16:09:56,0.139s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:09:56,2018-05-09 16:09:57,1.122s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:09:57,2018-05-09 16:09:57,0.047s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:09:57,2018-05-09 16:09:58,0.714s,PASSED
,,,,,,
Test Cases/User require username,Chrome 66.0.3359.139,,2018-05-09 16:09:58,2018-05-09 16:10:33,35.147s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:09:58,2018-05-09 16:10:01,2.368s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:10:01,2018-05-09 16:10:33,32.520s,FAILED
,,,,,,
Test Cases/User require username,Chrome 66.0.3359.139,,2018-05-09 16:10:33,2018-05-09 16:11:09,35.738s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:10:33,2018-05-09 16:10:37,3.337s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:10:37,2018-05-09 16:11:09,32.357s,FAILED
,,,,,,
Test Cases/User require username,Chrome 66.0.3359.139,,2018-05-09 16:11:09,2018-05-09 16:11:45,35.678s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:11:09,2018-05-09 16:11:12,3.275s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:11:12,2018-05-09 16:11:45,32.389s,FAILED
