Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Chrome 66.0.3359.139,,2018-05-08 17:55:02,2018-05-08 17:56:09,1m - 7.129s,FAILED
,,,,,,
Test Cases/Login user,Chrome 66.0.3359.139,,2018-05-08 17:55:03,2018-05-08 17:55:19,16.514s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:55:03,2018-05-08 17:55:06,3.188s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:55:06,2018-05-08 17:55:09,2.950s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 17:55:09,2018-05-08 17:55:19,9.432s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:55:19,2018-05-08 17:55:19,0.560s,FAILED
,,,,,,
Test Cases/Login user,Chrome 66.0.3359.139,,2018-05-08 17:55:19,2018-05-08 17:55:36,16.567s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:55:19,2018-05-08 17:55:22,3.138s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:55:22,2018-05-08 17:55:25,2.999s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 17:55:25,2018-05-08 17:55:35,9.980s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:55:35,2018-05-08 17:55:36,0.431s,FAILED
,,,,,,
Test Cases/Login admin,Chrome 66.0.3359.139,,2018-05-08 17:55:36,2018-05-08 17:55:57,21.109s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:55:36,2018-05-08 17:55:39,2.963s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 17:55:39,2018-05-08 17:55:54,14.878s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:55:54,2018-05-08 17:55:54,0.217s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:55:54,2018-05-08 17:55:54,0.255s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 17:55:54,2018-05-08 17:55:55,0.321s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:55:55,2018-05-08 17:55:56,1.207s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:55:56,2018-05-08 17:55:56,0.139s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-08 17:55:56,2018-05-08 17:55:57,0.873s,PASSED
,,,,,,
Test Cases/Login admin,Chrome 66.0.3359.139,,2018-05-08 17:55:57,2018-05-08 17:56:09,12.450s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-08 17:55:57,2018-05-08 17:55:59,2.195s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-08 17:55:59,2018-05-08 17:56:07,7.757s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:56:07,2018-05-08 17:56:07,0.174s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-08 17:56:07,2018-05-08 17:56:07,0.139s,PASSED
click,Chrome 66.0.3359.139,,2018-05-08 17:56:07,2018-05-08 17:56:07,0.109s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:56:07,2018-05-08 17:56:09,1.179s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-08 17:56:09,2018-05-08 17:56:09,0.054s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-08 17:56:09,2018-05-08 17:56:09,0.796s,PASSED
