Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Chrome 66.0.3359.139,,2018-05-09 17:11:39,2018-05-09 17:14:44,3m - 5.179s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 17:11:40,2018-05-09 17:11:56,16.186s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:11:40,2018-05-09 17:11:44,3.704s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:11:44,2018-05-09 17:11:54,9.974s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:11:54,2018-05-09 17:11:54,0.551s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:11:54,2018-05-09 17:11:55,0.306s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:11:55,2018-05-09 17:11:55,0.154s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:11:55,2018-05-09 17:11:56,1.028s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 17:11:56,2018-05-09 17:12:10,14.121s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:11:56,2018-05-09 17:11:58,2.295s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:11:58,2018-05-09 17:12:09,10.606s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:12:09,2018-05-09 17:12:09,0.241s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:12:09,2018-05-09 17:12:09,0.116s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:12:09,2018-05-09 17:12:09,0.055s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:12:09,2018-05-09 17:12:10,0.732s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 17:12:10,2018-05-09 17:12:23,13.048s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:12:10,2018-05-09 17:12:12,2.230s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:12:12,2018-05-09 17:12:22,9.189s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:12:22,2018-05-09 17:12:22,0.464s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:12:22,2018-05-09 17:12:22,0.244s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:12:22,2018-05-09 17:12:22,0.074s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:12:22,2018-05-09 17:12:23,0.746s,PASSED
,,,,,,
Test Cases/Login admin,Chrome 66.0.3359.139,,2018-05-09 17:12:23,2018-05-09 17:12:39,15.910s,PASSED
