Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Chrome 66.0.3359.139,,2018-05-09 15:49:12,2018-05-09 15:51:27,2m - 14.644s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 15:49:13,2018-05-09 15:49:32,19.357s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:49:13,2018-05-09 15:49:17,3.899s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:49:17,2018-05-09 15:49:30,12.983s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:49:30,2018-05-09 15:49:31,0.421s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:49:31,2018-05-09 15:49:31,0.140s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:49:31,2018-05-09 15:49:31,0.298s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:49:31,2018-05-09 15:49:31,0.123s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:49:31,2018-05-09 15:49:32,0.998s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 15:49:32,2018-05-09 15:49:49,16.845s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:49:32,2018-05-09 15:49:35,2.307s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:49:35,2018-05-09 15:49:48,13.215s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:49:48,2018-05-09 15:49:48,0.178s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:49:48,2018-05-09 15:49:48,0.131s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:49:48,2018-05-09 15:49:48,0.118s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:49:48,2018-05-09 15:49:48,0.062s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:49:48,2018-05-09 15:49:49,0.719s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 15:49:49,2018-05-09 15:50:24,34.652s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:49:49,2018-05-09 15:49:51,2.275s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:49:51,2018-05-09 15:50:22,31.122s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:50:22,2018-05-09 15:50:23,0.206s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:50:23,2018-05-09 15:50:23,0.114s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:50:23,2018-05-09 15:50:23,0.123s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:50:23,2018-05-09 15:50:23,0.049s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:50:23,2018-05-09 15:50:24,0.749s,PASSED
,,,,,,
Test Cases/Login admin,Chrome 66.0.3359.139,,2018-05-09 15:50:24,2018-05-09 15:50:46,22.549s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:50:24,2018-05-09 15:50:26,2.452s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:50:26,2018-05-09 15:50:44,17.446s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:50:44,2018-05-09 15:50:44,0.244s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:50:44,2018-05-09 15:50:44,0.187s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:50:44,2018-05-09 15:50:44,0.115s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:50:44,2018-05-09 15:50:46,1.106s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:50:46,2018-05-09 15:50:46,0.053s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:50:46,2018-05-09 15:50:46,0.726s,PASSED
,,,,,,
Test Cases/Login page,Chrome 66.0.3359.139,,2018-05-09 15:50:46,2018-05-09 15:51:04,17.618s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:50:46,2018-05-09 15:50:49,2.285s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:50:49,2018-05-09 15:51:03,14.287s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:51:03,2018-05-09 15:51:03,0.133s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:51:03,2018-05-09 15:51:04,0.737s,PASSED
,,,,,,
Test Cases/Login user,Chrome 66.0.3359.139,,2018-05-09 15:51:04,2018-05-09 15:51:27,22.943s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:51:04,2018-05-09 15:51:07,2.433s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:51:07,2018-05-09 15:51:24,17.745s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:51:24,2018-05-09 15:51:25,0.264s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:51:25,2018-05-09 15:51:25,0.149s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:51:25,2018-05-09 15:51:25,0.120s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:51:25,2018-05-09 15:51:26,1.110s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:51:26,2018-05-09 15:51:26,0.049s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:51:26,2018-05-09 15:51:27,0.717s,PASSED
