Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Chrome 66.0.3359.139,,2018-05-09 17:33:28,2018-05-09 17:36:55,3m - 27.137s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 17:33:29,2018-05-09 17:33:45,16.290s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:33:29,2018-05-09 17:33:33,3.836s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:33:33,2018-05-09 17:33:44,10.677s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:33:44,2018-05-09 17:33:44,0.271s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:33:44,2018-05-09 17:33:44,0.128s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:33:44,2018-05-09 17:33:44,0.084s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:33:44,2018-05-09 17:33:45,0.756s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 17:33:45,2018-05-09 17:34:03,17.692s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:33:45,2018-05-09 17:33:47,2.185s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:33:47,2018-05-09 17:34:01,14.281s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:34:01,2018-05-09 17:34:02,0.238s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:34:02,2018-05-09 17:34:02,0.174s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:34:02,2018-05-09 17:34:02,0.095s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:02,2018-05-09 17:34:03,0.698s,PASSED
,,,,,,
Test Cases/User require password,Chrome 66.0.3359.139,,2018-05-09 17:34:03,2018-05-09 17:34:18,14.935s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:03,2018-05-09 17:34:05,2.294s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:34:05,2018-05-09 17:34:16,11.513s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:34:16,2018-05-09 17:34:17,0.211s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:34:17,2018-05-09 17:34:17,0.115s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:34:17,2018-05-09 17:34:17,0.056s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:17,2018-05-09 17:34:18,0.724s,PASSED
,,,,,,
Test Cases/Login admin,Chrome 66.0.3359.139,,2018-05-09 17:34:18,2018-05-09 17:34:36,18.280s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:18,2018-05-09 17:34:20,2.124s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:34:20,2018-05-09 17:34:33,13.230s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:34:33,2018-05-09 17:34:33,0.235s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:34:33,2018-05-09 17:34:34,0.160s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:34:34,2018-05-09 17:34:34,0.164s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:34:34,2018-05-09 17:34:35,1.255s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:34:35,2018-05-09 17:34:35,0.057s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:35,2018-05-09 17:34:36,0.720s,PASSED
,,,,,,
Test Cases/Login page,Chrome 66.0.3359.139,,2018-05-09 17:34:36,2018-05-09 17:34:51,14.810s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:36,2018-05-09 17:34:39,2.489s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:34:39,2018-05-09 17:34:50,11.228s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:34:50,2018-05-09 17:34:50,0.111s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:50,2018-05-09 17:34:51,0.774s,PASSED
,,,,,,
Test Cases/Login user,Chrome 66.0.3359.139,,2018-05-09 17:34:51,2018-05-09 17:35:06,15.016s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:34:51,2018-05-09 17:34:53,2.413s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:34:53,2018-05-09 17:35:03,9.893s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:35:03,2018-05-09 17:35:03,0.220s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:35:03,2018-05-09 17:35:04,0.163s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:35:04,2018-05-09 17:35:04,0.132s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:35:04,2018-05-09 17:35:05,1.109s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:35:05,2018-05-09 17:35:05,0.053s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:35:05,2018-05-09 17:35:06,0.726s,PASSED
,,,,,,
Test Cases/User require username,Chrome 66.0.3359.139,,2018-05-09 17:35:06,2018-05-09 17:35:24,18.623s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:35:06,2018-05-09 17:35:08,2.116s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:35:08,2018-05-09 17:35:23,15.023s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:35:23,2018-05-09 17:35:23,0.215s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:35:23,2018-05-09 17:35:23,0.113s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:35:23,2018-05-09 17:35:24,0.127s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:35:24,2018-05-09 17:35:24,0.049s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:35:24,2018-05-09 17:35:24,0.724s,PASSED
,,,,,,
Test Cases/User require username,Chrome 66.0.3359.139,,2018-05-09 17:35:24,2018-05-09 17:35:42,17.579s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:35:24,2018-05-09 17:35:26,2.181s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:35:26,2018-05-09 17:35:41,14.164s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:35:41,2018-05-09 17:35:41,0.237s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:35:41,2018-05-09 17:35:41,0.111s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:35:41,2018-05-09 17:35:41,0.102s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:35:41,2018-05-09 17:35:41,0.058s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:35:41,2018-05-09 17:35:42,0.704s,PASSED
,,,,,,
Test Cases/User require username,Chrome 66.0.3359.139,,2018-05-09 17:35:42,2018-05-09 17:36:03,20.969s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:35:42,2018-05-09 17:35:44,2.257s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:35:44,2018-05-09 17:36:02,17.361s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:36:02,2018-05-09 17:36:02,0.229s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:36:02,2018-05-09 17:36:02,0.186s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:36:02,2018-05-09 17:36:02,0.128s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:36:02,2018-05-09 17:36:02,0.045s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:36:02,2018-05-09 17:36:03,0.727s,PASSED
,,,,,,
Test Cases/Logout,Chrome 66.0.3359.139,,2018-05-09 17:36:03,2018-05-09 17:36:19,16.641s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 17:36:03,2018-05-09 17:36:06,2.353s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 17:36:06,2018-05-09 17:36:17,11.270s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:36:17,2018-05-09 17:36:17,0.189s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 17:36:17,2018-05-09 17:36:17,0.351s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:36:17,2018-05-09 17:36:17,0.107s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:36:17,2018-05-09 17:36:19,1.174s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 17:36:19,2018-05-09 17:36:19,0.091s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 17:36:19,2018-05-09 17:36:19,0.054s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 17:36:19,2018-05-09 17:36:19,0.732s,PASSED
,,,,,,
Test Cases/Change amount of product,Chrome 66.0.3359.139,,2018-05-09 17:36:19,2018-05-09 17:36:39,19.850s,PASSED
