Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Chrome 66.0.3359.139,,2018-05-10 17:51:27,2018-05-10 17:57:18,5m - 51.075s,FAILED
,,,,,,
Test Cases/Add items,Chrome 66.0.3359.139,,2018-05-10 17:51:27,2018-05-10 17:51:39,11.534s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 17:51:28,2018-05-10 17:51:31,3.175s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 17:51:31,2018-05-10 17:51:36,4.739s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 17:51:36,2018-05-10 17:51:36,0.301s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 17:51:36,2018-05-10 17:51:36,0.244s,PASSED
sendKeys,Chrome 66.0.3359.139,,2018-05-10 17:51:36,2018-05-10 17:51:36,0.205s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 17:51:36,2018-05-10 17:51:38,1.146s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.094s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.081s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.081s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.071s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.059s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.042s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.039s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.052s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:38,0.044s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 17:51:38,2018-05-10 17:51:39,0.726s,PASSED
,,,,,,
Test Cases/Change amount of product,Chrome 66.0.3359.139,,2018-05-10 17:51:39,2018-05-10 17:51:50,10.858s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 17:51:39,2018-05-10 17:51:41,1.981s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 17:51:41,2018-05-10 17:51:46,4.861s,PASSED
