Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login user,Firefox 60.0,,2018-05-10 18:23:28,2018-05-10 18:26:05,2m - 36.903s,PASSED
,,,,,,
Test Cases/User require password,Firefox 60.0,,2018-05-10 18:23:29,2018-05-10 18:23:39,10.357s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:23:29,2018-05-10 18:23:33,4.013s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:23:33,2018-05-10 18:23:38,5.303s,PASSED
setText,Firefox 60.0,,2018-05-10 18:23:38,2018-05-10 18:23:38,0.132s,PASSED
click,Firefox 60.0,,2018-05-10 18:23:38,2018-05-10 18:23:39,0.293s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:23:39,2018-05-10 18:23:39,0.044s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:23:39,2018-05-10 18:23:39,0.227s,PASSED
,,,,,,
Test Cases/User require password,Firefox 60.0,,2018-05-10 18:23:39,2018-05-10 18:23:48,8.678s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:23:39,2018-05-10 18:23:42,2.959s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:23:42,2018-05-10 18:23:47,5.050s,PASSED
setText,Firefox 60.0,,2018-05-10 18:23:47,2018-05-10 18:23:47,0.126s,PASSED
click,Firefox 60.0,,2018-05-10 18:23:47,2018-05-10 18:23:47,0.286s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:23:47,2018-05-10 18:23:48,0.029s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:23:48,2018-05-10 18:23:48,0.208s,PASSED
,,,,,,
Test Cases/User require password,Firefox 60.0,,2018-05-10 18:23:48,2018-05-10 18:23:56,8.718s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:23:48,2018-05-10 18:23:51,2.784s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:23:51,2018-05-10 18:23:56,5.371s,PASSED
setText,Firefox 60.0,,2018-05-10 18:23:56,2018-05-10 18:23:56,0.061s,PASSED
click,Firefox 60.0,,2018-05-10 18:23:56,2018-05-10 18:23:56,0.257s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:23:56,2018-05-10 18:23:56,0.035s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:23:56,2018-05-10 18:23:56,0.196s,PASSED
,,,,,,
Test Cases/User require password,Firefox 60.0,,2018-05-10 18:23:56,2018-05-10 18:24:05,8.607s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:23:56,2018-05-10 18:23:59,2.816s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:23:59,2018-05-10 18:24:04,5.116s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:04,2018-05-10 18:24:04,0.103s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:04,2018-05-10 18:24:05,0.290s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:05,2018-05-10 18:24:05,0.035s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:24:05,2018-05-10 18:24:05,0.226s,PASSED
,,,,,,
Test Cases/User require username,Firefox 60.0,,2018-05-10 18:24:05,2018-05-10 18:24:14,9.367s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:24:05,2018-05-10 18:24:08,2.836s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:24:08,2018-05-10 18:24:14,5.691s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:14,2018-05-10 18:24:14,0.105s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:14,2018-05-10 18:24:14,0.277s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:14,2018-05-10 18:24:14,0.035s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:24:14,2018-05-10 18:24:14,0.208s,PASSED
,,,,,,
Test Cases/User require username,Firefox 60.0,,2018-05-10 18:24:14,2018-05-10 18:24:23,8.546s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:24:14,2018-05-10 18:24:17,2.792s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:24:17,2018-05-10 18:24:22,5.104s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:22,2018-05-10 18:24:22,0.106s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:22,2018-05-10 18:24:23,0.281s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:23,2018-05-10 18:24:23,0.039s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:24:23,2018-05-10 18:24:23,0.210s,PASSED
,,,,,,
Test Cases/User require username,Firefox 60.0,,2018-05-10 18:24:23,2018-05-10 18:24:32,9.462s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:24:23,2018-05-10 18:24:26,2.779s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:24:26,2018-05-10 18:24:32,6.074s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:32,2018-05-10 18:24:32,0.086s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:32,2018-05-10 18:24:32,0.264s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:32,2018-05-10 18:24:32,0.032s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:24:32,2018-05-10 18:24:32,0.211s,PASSED
,,,,,,
Test Cases/Add items,Firefox 60.0,,2018-05-10 18:24:32,2018-05-10 18:24:44,11.114s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:24:33,2018-05-10 18:24:35,2.761s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:24:35,2018-05-10 18:24:40,4.765s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:40,2018-05-10 18:24:40,0.112s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:40,2018-05-10 18:24:40,0.076s,PASSED
sendKeys,Firefox 60.0,,2018-05-10 18:24:40,2018-05-10 18:24:40,0.086s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:40,2018-05-10 18:24:42,1.769s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:42,2018-05-10 18:24:42,0.229s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:42,2018-05-10 18:24:43,0.232s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:43,0.258s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:43,0.240s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:43,0.033s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:43,0.023s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:43,0.026s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:43,0.022s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:43,0.021s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:24:43,2018-05-10 18:24:44,0.220s,PASSED
,,,,,,
Test Cases/Change amount of product,Firefox 60.0,,2018-05-10 18:24:44,2018-05-10 18:24:56,12.494s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:24:44,2018-05-10 18:24:47,2.907s,PASSED
navigateToUrl,Firefox 60.0,,2018-05-10 18:24:47,2018-05-10 18:24:53,6.303s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:53,2018-05-10 18:24:53,0.099s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:53,2018-05-10 18:24:53,0.075s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:53,2018-05-10 18:24:54,0.289s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:54,2018-05-10 18:24:55,1.261s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:55,2018-05-10 18:24:55,0.278s,PASSED
setText,Firefox 60.0,,2018-05-10 18:24:55,2018-05-10 18:24:55,0.051s,PASSED
click,Firefox 60.0,,2018-05-10 18:24:55,2018-05-10 18:24:55,0.071s,PASSED
acceptAlert,Firefox 60.0,,2018-05-10 18:24:55,2018-05-10 18:24:55,0.040s,PASSED
verifyElementText,Firefox 60.0,,2018-05-10 18:24:55,2018-05-10 18:24:56,0.572s,PASSED
closeBrowser,Firefox 60.0,,2018-05-10 18:24:56,2018-05-10 18:24:56,0.236s,PASSED
,,,,,,
Test Cases/Login admin,Firefox 60.0,,2018-05-10 18:24:56,2018-05-10 18:25:14,17.863s,PASSED
openBrowser,Firefox 60.0,,2018-05-10 18:24:56,2018-05-10 18:24:59,2.747s,PASSED
